Recovery Year, Reporting Agency, Sampling Agency,State,Region, Detection Method, PSC Fishery, Fis-Gear, RMIS Region, SUM Observed, SUM Estimated
2010,CDFO,CDFO,BC,BC,Visual,Mixed Net and Seine,Gillnet,CEBC,3,5.58
2010,CDFO,CDFO,BC,BC,Visual,Mixed Net and Seine,Gillnet,FRTH,50,350.15
2010,CDFO,CDFO,BC,BC,Visual,Mixed Net and Seine,Gillnet,GST,38,78.84
2010,CDFO,CDFO,BC,BC,Visual,Mixed Net and Seine,Gillnet,NOBC,5,
2010,CDFO,CDFO,BC,BC,Visual,Mixed Net and Seine,Hook & Line,CEBC,3,5.58
2010,CDFO,CDFO,BC,BC,Visual,Mixed Net and Seine,Hook & Line,FRTH,50,350.15
2010,CDFO,CDFO,BC,BC,Visual,Mixed Net and Seine,Hook & Line,GST,38,78.84
2010,CDFO,CDFO,BC,BC,Visual,Mixed Net and Seine,Hook & Line,NOBC,5,
2010,CDFO,CDFO,BC,BC,Visual,Mixed Net and Seine,Set Net,FRTH,1,
2010,CDFO,CDFO,BC,BC,Visual,Ocean Sport,Rod and Reel,BCGN,4,11.48
2010,CDFO,CDFO,BC,BC,Visual,Ocean Sport,Rod and Reel,CEBC,100,316.17
2010,CDFO,CDFO,BC,BC,Visual,Ocean Sport,Rod and Reel,GST,174,909.12
2010,CDFO,CDFO,BC,BC,Visual,Ocean Sport,Rod and Reel,JNST,132,965.2
2010,CDFO,CDFO,BC,BC,Visual,Ocean Sport,Rod and Reel,NOBC,65,488.55
2010,CDFO,CDFO,BC,BC,Visual,Ocean Sport,Rod and Reel,QCI,472,1238.82
2010,CDFO,CDFO,BC,BC,Visual,Ocean Sport,Rod and Reel,WCVI,1211,3689.61
2010,CDFO,CDFO,BC,BC,Visual,Ocean Sport,Rod and Reel,Unspe,20,80.46
2010,CDFW,CDFW,CA,CA,Visual,Freshwater Sport,Unspecified,SAFA,183,1996
2010,CDFW,CDFW,CA,CA,Visual,Hatchery,Unspecified,SAFA,9330,9511.63
2010,CDFW,CDFW,CA,CA,Visual,Hatchery,Unspecified,SJOA,2787,2787.81
2010,CDFW,CDFW,CA,CA,Visual,Ocean Sport,Unspecified,CAGN,909,3196.69
2010,CDFW,CDFW,CA,CA,Visual,Ocean Troll (non-treaty),Unspecified,CAGN,1079,1841.67
2010,CDFW,CDFW,CA,CA,Visual,Other,Unspecified,SAFA,948,948
2010,CDFW,CDFW,CA,CA,Visual,Other,Unspecified,SJOA,114,114
2010,CDFW,CDFW,CA,CA,Visual,Spawning Ground,Unspecified,SAFA,709,8221.24
2010,CDFW,CDFW,CA,CA,Visual,Spawning Ground,Unspecified,SJOA,219,744.54
2010,CDFW,CDWR,CA,CA,Visual,Spawning Ground,Unspecified,SAFA,1276,11739.2
2010,IDFG,IDFG,ID,CR,Electronic,Freshwater Sport,Unspecified,SNAK,260,240.67
2010,IDFG,IDFG,ID,CR,Electronic,Hatchery,Unspecified,SNAK,822,
